left,front,right,action
97.57,62.92,45.44,FORWARD
51.01,34.53,55.01,RIGHT
21.36,91.01,44.68,FORWARD
13.13,10.23,23.38,STOP
49.64,59.22,96.57,FORWARD
7.64,17.5,23.13,STOP
88.34,24.56,64.77,LEFT
67.27,27.93,114.22,RIGHT
67.18,67.52,59.55,FORWARD
109.94,21.99,39.44,LEFT
116.37,14.79,58.31,LEFT
72.32,66.42,48.95,FORWARD
30.71,115.71,101.3,FORWARD
67.1,85.94,119.49,FORWARD
73.08,25.87,78.3,LEFT
37.08,30.13,89.49,RIGHT
11.62,83.34,101.27,FORWARD
44.49,11.51,72.07,RIGHT
22.11,115.59,88.61,FORWARD
65.98,110.69,23.39,FORWARD
14.97,5.79,12.4,STOP
5.66,87.26,70.58,FORWARD
16.08,10.62,23.32,STOP
5.61,11.64,23.68,STOP
9.16,59.69,11.17,FORWARD
6.13,7.58,24.59,STOP
23.71,77.51,37.37,FORWARD
67.69,10.64,32.66,LEFT
63.45,16.27,115.98,RIGHT
113.95,30.07,32.92,LEFT
5.01,5.89,20.17,STOP
74.88,36.73,50.61,RIGHT
12.22,9.67,18.99,STOP
17.27,9.31,17.27,STOP
10.01,17.59,14.27,STOP
85.13,35.02,28.21,LEFT
70.71,6.23,117.69,RIGHT
20.57,10.16,22.29,STOP
70.33,24.65,91.03,RIGHT
85.94,69.4,71.98,FORWARD
99.69,15.9,79.09,LEFT
23.66,19.52,6.63,STOP
67.09,5.18,79.9,RIGHT
11.33,10.21,23.33,STOP
102.18,7.22,62.92,LEFT
59.51,22.49,39.08,LEFT
70.53,43.89,26.18,LEFT
18.64,9.28,21.37,STOP
50.68,35.67,43.97,RIGHT
83.26,101.46,62.28,FORWARD
66.01,25.74,43.61,LEFT
23.54,5.31,19.92,STOP
30.37,14.41,77.91,RIGHT
9.25,10.9,11.48,STOP
9.09,16.46,14.77,STOP
99.59,86.36,39.3,FORWARD
112.48,26.51,26.34,LEFT
11.47,15.24,10.18,STOP
16.18,9.37,15.57,STOP
5.26,15.25,24.09,STOP
28.81,40.42,65.49,RIGHT
73.4,13.2,21.26,LEFT
62.85,112.53,100.03,FORWARD
97.99,14.69,53.76,LEFT
19.28,14.9,14.71,STOP
80.53,102.43,12.12,FORWARD
22.91,8.99,61.18,RIGHT
108.64,33.63,41.28,LEFT
42.17,61.65,75.93,FORWARD
18.38,10.75,11.2,STOP
6.27,74.58,119.35,FORWARD
58.67,20.78,104.68,RIGHT
19.45,5.07,22.25,STOP
76.07,36.89,22.66,LEFT
44.69,40.56,66.71,LEFT
66.25,92.13,75.32,FORWARD
61.01,14.25,98.74,RIGHT
22.32,11.16,9.4,STOP
31.88,76.87,114.97,FORWARD
115.08,32.61,29.12,LEFT
18.46,93.4,72.5,FORWARD
40.66,32.01,46.47,LEFT
48.06,31.06,102.27,RIGHT
117.77,13.19,58.73,LEFT
39.5,27.75,87.76,RIGHT
56.4,11.93,51.33,RIGHT
19.8,6.12,9.79,STOP
16.99,77.26,27.16,FORWARD
22.56,36.5,117.18,RIGHT
93.81,116.7,86.26,FORWARD
49.69,29.54,74.02,LEFT
12.88,7.05,11.74,STOP
10.69,12.24,21.34,STOP
23.21,14.28,16.18,STOP
18.43,18.56,18.08,STOP
81.34,113.12,103.66,FORWARD
5.48,17.16,5.74,STOP
20.14,16.5,8.89,STOP
39.67,41.48,108.08,RIGHT
93.78,15.19,72.54,LEFT
38.91,30.36,55.24,RIGHT
23.28,11.33,13.67,STOP
49.02,42.14,59.56,RIGHT
66.57,23.72,21.44,LEFT
31.7,86.01,5.79,FORWARD
34.69,91.47,70.09,FORWARD
98.18,29.71,26.29,LEFT
51.38,16.06,96.4,RIGHT
22.95,11.59,13.76,STOP
37.04,116.5,57.25,FORWARD
5.17,9.56,23.53,STOP
101.47,58.38,57.66,FORWARD
45.2,10.49,23.42,LEFT
79.31,18.05,62.41,LEFT
76.77,8.13,97.11,RIGHT
108.61,42.61,20.46,LEFT
60.34,34.33,51.59,LEFT
40.22,89.28,18.84,FORWARD
90.7,16.89,70.61,LEFT
77.53,5.63,68.16,LEFT
83.23,97.4,39.23,FORWARD
16.98,9.99,17.95,STOP
50.67,17.48,45.31,LEFT
9.36,6.54,16.59,STOP
40.33,22.62,116.6,RIGHT
114.9,62.96,65.43,FORWARD
50.76,5.71,22.96,LEFT
73.29,38.56,47.97,LEFT
17.53,10.64,20.96,STOP
74.98,106.63,24.12,FORWARD
73.26,15.77,58.42,LEFT
12.86,5.85,6.93,STOP
10.6,12.29,10.21,STOP
82.93,5.94,53.64,LEFT
69.3,38.84,35.26,LEFT
50.55,5.18,69.05,LEFT
112.71,29.68,74.49,LEFT
23.61,15.59,24.23,STOP
94.01,85.63,118.17,FORWARD
71.48,17.93,90.6,RIGHT
74.43,39.16,58.1,LEFT
83.55,114.29,81.13,FORWARD
76.1,108.19,33.71,FORWARD
15.98,7.37,9.94,STOP
22.13,36.3,81.26,RIGHT
68.55,16.39,71.04,LEFT
47.98,14.05,40.6,LEFT
17.58,12.9,21.21,STOP
18.12,72.64,75.98,FORWARD
75.2,24.5,117.14,RIGHT
67.51,59.81,52.29,FORWARD
9.32,7.18,12.07,STOP
17.69,9.51,5.02,STOP
94.17,28.05,71.45,LEFT
7.82,5.01,18.43,STOP
79.7,27.08,100.52,RIGHT
57.89,14.9,116.95,RIGHT
86.11,21.27,47.95,LEFT
47.88,20.32,43.53,LEFT
59.58,42.96,82.23,RIGHT
51.1,27.84,94.52,RIGHT
42.1,6.53,62.64,RIGHT
55.11,6.96,78.75,LEFT
53.4,43.5,80.32,RIGHT
69.09,9.15,102.34,RIGHT
96.72,67.38,106.58,FORWARD
83.1,113.26,54.45,FORWARD
38.49,60.82,95.13,FORWARD
42.67,25.56,45.3,LEFT
99.49,56.44,106.18,FORWARD
47.43,11.04,118.75,RIGHT
47.88,41.84,53.64,LEFT
5.85,8.11,18.21,STOP
117.83,58.76,81.23,FORWARD
109.99,43.53,78.69,LEFT
25.65,41.39,108.08,RIGHT
28.29,119.49,23.59,FORWARD
69.42,109.72,55.07,FORWARD
113.77,18.15,33.67,LEFT
98.88,5.66,61.3,LEFT
32.32,113.56,26.21,FORWARD
68.28,28.7,34.44,LEFT
25.66,67.29,23.79,FORWARD
13.09,12.89,9.92,STOP
17.01,14.29,5.92,STOP
43.44,96.67,54.87,FORWARD
54.32,14.25,47.26,RIGHT
105.36,102.56,5.11,FORWARD
65.13,20.9,76.24,RIGHT
59.53,8.03,67.7,LEFT
82.51,38.22,71.7,LEFT
42.63,5.63,67.03,RIGHT
42.81,37.1,90.2,RIGHT
43.22,8.11,54.25,LEFT
63.67,36.34,76.03,LEFT
44.01,19.8,60.76,LEFT
86.67,13.66,77.82,LEFT
14.29,11.8,9.25,STOP
42.4,8.82,54.96,LEFT
91.55,37.23,60.91,LEFT
83.96,83.07,39.87,FORWARD
77.71,117.92,83.64,FORWARD
88.99,23.94,65.1,LEFT
